material,temperature_c,pressure_bar,ph,sulfur_ppm,flow_velocity_ms,service_years,corrosion_rate_mmpy
SS304,177.6,55.0,4.66,106,1.95,7,0.75
Carbon Steel,268.9,54.1,5.61,374,4.34,7,1.26
Carbon Steel,169.3,50.5,6.56,424,3.39,2,0.88
SS316,221.5,35.7,4.63,402,3.99,12,1.04
Alloy Steel,226.2,30.8,5.78,506,3.08,7,1.06
Carbon Steel,243.8,49.8,6.72,633,3.3,12,1.15
Inconel,236.6,44.4,6.52,539,3.03,14,0.73
SS316,244.0,33.4,5.67,152,2.74,11,0.76
SS304,228.7,29.2,5.35,436,4.05,8,0.98
Carbon Steel,201.7,50.7,5.98,629,2.11,4,1.07
SS316,274.4,44.8,5.56,114,2.74,13,0.82
SS316,271.7,26.4,5.12,613,2.69,9,1.07
Alloy Steel,183.5,51.6,6.21,541,3.89,6,0.96
SS304,278.4,39.0,4.35,257,2.81,14,1.12
SS304,242.2,36.6,6.24,395,2.04,11,0.78
SS304,175.3,39.7,4.4,470,3.5,7,1.01
Inconel,156.1,28.8,5.58,261,1.56,11,0.53
SS316,232.0,30.9,4.57,699,3.37,1,1.09
Inconel,148.9,41.6,6.39,698,2.79,14,0.65
Inconel,209.9,43.0,4.36,532,2.19,4,0.9
SS316,188.6,33.0,5.98,669,2.3,4,0.77
SS304,238.3,50.6,5.13,256,4.34,7,0.96
SS316,170.8,38.5,6.27,428,3.45,4,0.64
Alloy Steel,212.4,28.5,5.57,176,3.28,2,0.9
SS316,190.4,37.2,6.72,167,2.31,4,0.44
SS316,193.7,37.7,6.06,462,2.4,14,0.75
Carbon Steel,173.3,36.7,5.35,634,2.73,7,1.17
Alloy Steel,171.0,48.4,4.72,148,2.92,11,0.98
Carbon Steel,145.0,44.8,4.95,435,2.34,3,1.05
SS304,235.6,26.6,6.24,607,3.9,13,0.96
SS304,172.6,50.4,6.09,688,1.97,7,0.77
Alloy Steel,227.8,39.2,6.7,505,4.22,5,0.96
Inconel,143.5,50.1,5.15,604,3.16,14,0.81
SS316,156.2,34.8,4.77,655,4.1,11,1.01
Carbon Steel,264.4,38.8,5.78,213,3.91,5,1.12
Alloy Steel,187.1,40.6,6.75,517,3.52,6,0.86
Carbon Steel,160.2,38.3,5.07,413,3.26,4,1.09
SS316,176.2,25.8,4.94,432,1.5,4,0.76
Inconel,273.7,32.2,5.04,210,3.23,5,0.83
Carbon Steel,166.6,49.6,4.5,493,2.52,10,1.23
Alloy Steel,218.7,25.2,4.4,628,1.73,14,1.29
SS316,268.8,33.1,5.16,441,4.15,1,1.0
SS316,267.8,51.2,5.5,362,2.52,13,0.92
Inconel,146.9,30.7,6.26,372,2.4,3,0.44
Alloy Steel,259.6,47.5,4.91,170,2.26,13,1.11
SS316,266.3,38.4,5.63,666,2.14,9,0.98
Carbon Steel,213.3,28.5,4.54,422,4.31,11,1.37
SS304,167.4,27.6,5.77,134,3.52,2,0.61
Alloy Steel,242.0,31.0,5.17,401,3.68,6,1.15
Carbon Steel,196.9,39.6,5.61,591,2.02,12,1.15
Inconel,150.0,35.4,6.13,362,3.95,1,0.52
Inconel,270.2,53.4,4.38,373,3.33,13,1.05
SS316,152.0,38.5,6.17,576,2.98,3,0.66
Inconel,152.7,39.9,4.88,534,2.07,9,0.75
SS304,260.3,27.7,6.45,292,2.03,8,0.72
Carbon Steel,222.0,40.6,4.59,139,3.69,1,1.16
Alloy Steel,220.1,38.3,5.1,547,4.18,8,1.22
SS316,150.2,53.0,5.23,575,2.34,8,0.8
Alloy Steel,253.1,32.4,4.36,179,4.08,8,1.23
Carbon Steel,213.2,51.2,4.31,256,4.13,11,1.32
SS304,261.0,34.3,6.0,109,2.62,12,0.76
Carbon Steel,235.4,31.2,6.28,581,2.75,10,1.14
Carbon Steel,252.4,41.9,6.13,497,2.57,10,1.15
SS316,193.5,34.1,4.26,102,2.18,6,0.8
Alloy Steel,204.3,49.5,6.62,427,3.48,8,0.88
Carbon Steel,187.5,39.9,5.34,230,1.89,7,0.98
Carbon Steel,198.1,27.7,5.34,238,2.37,1,0.99
SS304,264.2,51.7,6.14,121,3.23,6,0.74
Inconel,187.2,27.7,6.7,584,2.88,2,0.55
SS304,141.5,37.5,4.6,498,3.63,13,0.97
Alloy Steel,140.5,32.1,6.64,202,1.84,12,0.62
Alloy Steel,229.5,50.6,6.12,629,2.8,3,1.03
SS316,197.1,33.6,5.65,282,1.76,7,0.66
Inconel,274.8,30.3,4.66,649,2.9,13,1.12
Alloy Steel,179.3,29.8,4.63,271,3.88,13,1.12
Inconel,218.4,40.6,5.79,258,2.36,5,0.6
SS304,261.8,44.1,4.63,357,2.36,10,1.05
Alloy Steel,142.1,34.4,5.73,182,2.78,5,0.75
Carbon Steel,210.4,34.5,6.1,624,4.32,12,1.22
Alloy Steel,260.7,41.9,5.27,299,1.87,13,1.09
Inconel,184.4,39.0,4.94,676,2.44,11,0.89
Alloy Steel,160.7,28.0,5.71,476,2.6,13,0.96
SS316,200.7,49.0,6.12,355,2.5,11,0.69
Carbon Steel,165.2,28.0,4.34,499,3.92,2,1.27
SS316,158.3,32.1,6.62,615,3.63,7,0.67
SS304,252.0,53.0,6.2,548,2.2,14,0.9
Alloy Steel,167.6,31.4,5.96,343,4.29,13,0.95
Alloy Steel,194.3,34.7,6.63,317,2.67,6,0.77
SS304,226.7,29.8,6.72,648,2.0,10,0.78
SS316,244.3,40.4,5.06,602,2.43,13,1.04
Carbon Steel,223.9,27.2,4.79,658,4.23,13,1.46
SS316,224.3,28.2,5.52,541,4.48,11,0.99
Inconel,228.7,27.2,6.56,674,1.73,9,0.68
SS316,168.1,46.5,5.02,283,1.96,13,0.75
Carbon Steel,210.4,27.5,5.81,304,4.07,9,1.1
Alloy Steel,207.0,30.4,5.46,522,1.59,1,0.97
SS316,168.8,34.7,5.41,665,4.3,6,0.92
SS304,154.9,50.3,5.46,495,3.03,13,0.84
Carbon Steel,270.2,36.5,5.48,637,3.92,10,1.39
Alloy Steel,252.2,40.9,5.45,508,4.08,8,1.2
Carbon Steel,230.1,32.9,4.34,238,3.91,3,1.28
SS304,192.8,52.1,4.38,134,4.28,5,0.92
Inconel,180.9,30.2,5.19,646,3.35,14,0.89
Carbon Steel,270.8,26.5,4.75,439,3.35,13,1.42
Carbon Steel,231.9,36.5,4.93,533,4.09,10,1.37
SS316,153.1,37.8,4.53,668,2.93,10,0.99
SS304,219.7,36.5,6.17,283,3.28,14,0.78
SS304,234.2,26.4,5.67,557,1.91,13,0.93
Inconel,239.5,54.2,6.26,245,4.23,4,0.64
SS304,141.0,49.6,5.14,424,3.53,14,0.86
Carbon Steel,273.8,40.9,5.24,672,3.43,12,1.44
Inconel,157.7,50.3,5.14,496,2.91,4,0.71
SS304,150.6,42.3,5.87,609,2.38,13,0.79
Inconel,244.8,49.8,6.21,123,2.08,4,0.51
SS304,241.0,35.6,5.05,383,4.13,13,1.06
SS304,205.9,29.7,4.28,668,2.22,6,1.1
SS316,237.1,29.8,6.53,342,2.87,10,0.69
SS304,188.4,43.6,4.3,212,3.99,7,0.96
Inconel,236.6,36.6,5.1,601,1.8,14,0.92
Carbon Steel,169.2,32.5,6.3,267,2.07,7,0.83
SS316,142.9,26.1,6.55,143,4.18,1,0.44
SS304,217.1,49.5,6.69,575,3.31,13,0.81
SS304,150.7,47.0,5.8,101,1.53,9,0.52
Inconel,179.8,42.6,5.73,367,4.01,2,0.64
SS316,279.6,29.6,6.44,259,3.27,11,0.77
SS304,230.4,29.5,6.62,329,3.69,1,0.68
Carbon Steel,251.3,29.1,5.36,597,2.41,3,1.25
Carbon Steel,207.7,39.7,4.51,581,2.24,1,1.27
SS304,196.6,38.8,4.24,270,2.81,13,0.99
Carbon Steel,158.3,43.0,4.29,398,1.96,3,1.14
SS316,213.0,25.4,4.25,683,2.16,13,1.13
SS304,165.6,42.2,5.86,434,3.71,7,0.76
Inconel,176.1,37.2,5.4,278,1.6,13,0.61
SS316,231.6,43.6,5.01,151,1.77,4,0.74
Carbon Steel,245.8,38.6,4.31,285,2.46,13,1.33
SS304,146.1,32.1,6.51,105,2.1,12,0.45
SS316,279.5,30.7,5.01,391,3.49,10,1.05
Carbon Steel,263.4,37.5,6.07,650,2.72,5,1.21
SS304,212.4,52.2,6.29,139,3.58,12,0.68
Alloy Steel,155.9,48.2,5.48,570,3.25,10,1.03
Inconel,207.5,27.1,4.92,294,4.34,7,0.83
Carbon Steel,267.6,41.6,5.57,558,1.52,11,1.24
Carbon Steel,261.4,43.8,5.94,175,4.34,1,1.07
Alloy Steel,206.0,42.1,4.32,474,3.38,6,1.23
Alloy Steel,210.8,27.3,5.0,493,2.22,5,1.09
SS316,264.6,33.1,6.34,410,2.89,4,0.76
Inconel,180.3,47.1,4.38,618,3.0,3,0.91
Inconel,239.6,26.6,6.44,374,2.29,8,0.61
Carbon Steel,266.7,49.5,5.1,584,2.57,8,1.35
Alloy Steel,206.6,54.8,6.2,226,3.0,1,0.8
Inconel,277.4,29.0,5.02,391,2.93,3,0.89
SS304,223.0,36.4,5.51,463,3.18,9,0.92
Inconel,246.0,47.7,6.31,631,2.29,5,0.73
Carbon Steel,247.3,53.0,6.66,321,1.91,10,0.95
Inconel,151.6,52.5,4.96,394,2.82,3,0.67
SS316,193.6,48.8,5.39,202,2.3,8,0.69
Alloy Steel,259.6,48.4,4.47,164,1.8,7,1.11
Carbon Steel,267.7,53.4,4.84,178,2.41,6,1.2
Carbon Steel,175.7,50.8,5.62,441,2.53,11,1.07
Alloy Steel,141.3,38.3,4.32,426,2.52,12,1.1
Alloy Steel,160.0,45.9,4.63,552,4.4,14,1.24
Alloy Steel,266.8,28.6,5.58,270,1.64,11,1.02
Carbon Steel,207.2,41.1,4.64,293,2.82,11,1.22
Alloy Steel,177.1,52.1,5.03,431,1.65,10,1.01
Alloy Steel,240.9,38.3,4.87,214,3.51,13,1.15
Carbon Steel,185.7,47.3,4.41,129,2.84,10,1.14
Carbon Steel,184.9,53.9,5.87,114,2.79,2,0.86
SS316,232.4,37.9,6.19,695,3.48,9,0.91
Inconel,147.5,29.2,5.82,224,3.01,1,0.46
SS304,269.9,53.5,5.64,304,4.39,6,0.95
Carbon Steel,154.9,39.8,4.62,686,1.98,12,1.27
SS304,188.9,54.0,6.28,478,2.38,13,0.74
SS316,264.3,26.2,6.58,599,2.39,4,0.79
Inconel,196.3,29.5,5.35,562,2.29,4,0.75
Inconel,149.3,54.7,4.3,492,2.83,8,0.84
Inconel,261.5,32.0,5.78,341,2.12,3,0.69
SS316,167.1,31.4,6.12,213,3.22,9,0.59
Alloy Steel,166.4,26.7,4.41,695,3.85,4,1.25
Inconel,177.6,44.6,5.59,666,2.69,6,0.75
Inconel,189.0,37.7,4.53,173,3.36,5,0.74
SS316,238.9,53.2,5.06,125,2.99,5,0.8
Alloy Steel,163.6,47.8,6.76,667,2.09,10,0.84
Inconel,172.8,33.1,5.9,334,2.08,8,0.54
Inconel,192.2,39.8,5.71,213,4.2,2,0.61
Alloy Steel,212.7,33.9,5.3,279,2.29,8,0.98
Carbon Steel,213.8,37.1,5.73,153,2.79,8,0.99
Carbon Steel,248.9,50.2,5.71,471,2.35,14,1.21
Inconel,276.6,33.6,5.3,489,1.57,14,0.9
SS304,222.5,41.8,6.12,587,1.89,10,0.83
Alloy Steel,236.0,32.5,4.37,514,3.22,6,1.29
Alloy Steel,210.6,42.6,5.53,397,2.5,9,1.01
SS304,223.6,37.7,5.36,252,3.98,5,0.86
Alloy Steel,236.3,50.9,4.98,215,1.85,8,1.02
SS316,202.1,30.6,5.9,189,3.16,1,0.61
Alloy Steel,242.8,26.7,6.51,521,2.15,5,0.93
Alloy Steel,200.4,49.5,6.39,412,4.08,9,0.94
Alloy Steel,179.1,28.8,5.86,145,1.9,11,0.78
Carbon Steel,273.8,48.2,6.39,556,2.0,5,1.11
SS316,156.3,41.1,5.34,260,3.31,9,0.71
Alloy Steel,153.2,33.7,6.76,676,2.46,14,0.87
SS316,207.1,36.0,6.58,320,2.62,13,0.63
SS316,261.6,50.0,6.37,518,2.37,5,0.78
SS316,145.4,51.1,5.53,338,2.99,10,0.68
SS304,159.6,41.3,4.22,157,1.66,1,0.75
Alloy Steel,201.5,39.9,5.25,507,2.76,5,1.07
Carbon Steel,274.1,51.5,6.63,615,3.58,7,1.18
Carbon Steel,219.7,50.8,4.4,143,4.05,12,1.27
Carbon Steel,273.4,37.1,5.52,682,2.33,6,1.32
Carbon Steel,218.0,53.4,5.28,296,3.32,1,1.1
Alloy Steel,166.0,31.7,5.48,676,3.81,2,1.07
Carbon Steel,254.9,33.6,4.82,572,1.67,3,1.29
SS316,241.0,44.7,6.69,658,3.87,2,0.8
SS304,222.0,41.4,5.87,255,1.75,3,0.67
Inconel,257.0,29.5,5.39,395,1.61,4,0.75
Carbon Steel,255.7,49.9,4.96,624,3.82,4,1.4
Inconel,278.5,30.0,4.32,567,2.26,14,1.12
Inconel,224.5,28.2,5.69,400,4.07,1,0.74
Inconel,228.3,38.5,4.69,404,3.09,10,0.91
SS316,255.0,25.9,5.84,309,2.38,13,0.81
Carbon Steel,265.2,52.6,4.34,592,1.61,3,1.39
Alloy Steel,273.2,43.7,6.04,278,2.74,4,0.97
SS316,221.3,46.4,6.58,523,3.52,5,0.73
Alloy Steel,240.8,45.3,6.03,393,2.65,2,0.94
Carbon Steel,255.4,43.3,5.36,666,1.64,2,1.24
SS316,279.7,51.6,6.31,324,2.19,10,0.77
Inconel,179.4,45.0,4.66,448,4.21,2,0.84
SS316,257.7,50.4,6.21,628,3.92,14,0.98
SS316,183.8,30.4,6.54,338,2.24,4,0.53
Carbon Steel,229.4,26.5,6.61,676,2.07,8,1.07
Inconel,219.2,29.7,6.0,408,3.45,12,0.73
Inconel,160.4,37.2,4.49,446,1.62,8,0.76
SS304,185.6,54.5,5.94,126,2.48,13,0.64
SS304,158.0,41.7,6.52,684,1.64,7,0.67
Alloy Steel,176.8,29.9,5.99,408,2.1,9,0.87
SS304,236.0,48.4,4.25,634,3.21,8,1.2
Carbon Steel,245.3,47.6,6.06,501,2.93,11,1.17
SS316,259.0,46.8,6.39,279,2.45,6,0.68
Inconel,178.8,44.3,6.0,622,2.53,13,0.71
SS316,164.4,34.7,6.73,691,3.04,10,0.69
Carbon Steel,244.9,53.9,4.39,132,4.31,7,1.29
SS316,221.1,41.7,6.12,399,2.32,11,0.73
Inconel,183.6,34.2,6.38,143,4.14,3,0.47
SS304,263.5,42.5,4.53,377,4.03,4,1.11
Alloy Steel,177.1,46.3,4.46,120,3.18,8,1.01
Inconel,146.9,25.9,5.64,557,3.11,9,0.68
Inconel,144.7,36.0,4.82,368,1.72,5,0.63
Inconel,160.2,45.9,4.57,483,1.66,12,0.79
Inconel,270.3,25.2,6.15,641,1.92,7,0.8
Carbon Steel,199.4,53.0,5.61,416,1.92,8,1.05
Inconel,193.9,35.2,6.47,438,3.05,3,0.55
SS316,233.1,27.4,5.77,198,3.71,8,0.76
Carbon Steel,278.6,36.3,5.36,127,1.54,10,1.1
SS304,232.7,29.7,5.99,176,2.78,1,0.67
SS316,219.1,45.1,6.7,461,3.18,8,0.69
SS316,220.8,53.1,6.45,689,3.08,6,0.81
SS316,192.9,28.1,6.07,402,3.63,1,0.68
SS316,181.8,52.7,4.8,549,3.39,14,0.99
Carbon Steel,265.6,40.5,5.38,118,4.14,12,1.2
SS304,180.2,33.8,5.24,611,3.0,5,0.91
SS304,221.4,41.5,4.77,357,3.46,4,0.96
Inconel,168.5,29.4,6.43,508,2.06,1,0.48
Alloy Steel,145.3,28.7,6.76,289,1.85,5,0.6
Carbon Steel,278.7,32.4,5.52,606,2.22,7,1.3
SS304,147.9,28.1,5.32,237,3.05,12,0.73
Carbon Steel,227.4,44.6,4.38,478,4.36,2,1.38
Carbon Steel,197.7,46.8,5.37,614,4.33,13,1.31
Inconel,201.2,36.8,5.25,175,3.94,6,0.69
SS304,262.7,29.7,5.38,463,3.58,1,0.98
Alloy Steel,206.0,37.3,4.82,537,1.9,8,1.13
Alloy Steel,254.9,43.4,6.36,396,1.86,4,0.9
Alloy Steel,156.6,44.4,4.85,601,3.04,5,1.1
SS316,199.0,37.3,4.8,181,2.09,10,0.78
SS304,180.6,25.4,5.69,341,2.62,12,0.76
SS316,167.1,35.4,5.13,105,4.02,11,0.74
SS316,244.9,34.9,5.79,622,1.55,4,0.84
SS316,171.4,36.7,5.28,548,1.78,8,0.79
Inconel,264.3,28.1,6.34,226,2.68,5,0.6
Inconel,196.0,29.5,5.51,580,2.82,6,0.77
Carbon Steel,207.6,51.9,6.75,339,2.75,3,0.87
Carbon Steel,220.8,31.6,4.9,581,1.63,3,1.22
SS304,183.3,33.8,6.31,152,3.92,8,0.62
SS304,197.8,41.1,4.33,101,2.23,13,0.88
Inconel,202.5,39.2,5.87,164,2.81,6,0.55
Carbon Steel,151.1,53.2,4.88,612,4.09,8,1.26
Carbon Steel,163.6,49.7,6.2,458,2.51,6,0.93
SS316,202.3,28.4,5.11,698,4.17,8,1.04
Alloy Steel,190.9,44.2,6.54,198,2.64,12,0.76
Alloy Steel,275.6,54.8,6.25,498,2.54,3,1.02
Alloy Steel,148.9,43.1,4.35,636,3.09,2,1.16
Inconel,263.2,55.0,4.83,557,3.26,8,1.01
Alloy Steel,158.1,39.1,5.76,118,2.32,14,0.79
Alloy Steel,224.6,53.1,4.81,150,2.28,3,0.99
SS316,266.8,40.5,4.6,653,3.77,10,1.21
SS304,177.9,49.1,5.8,552,2.84,4,0.79
Inconel,207.6,34.7,6.38,278,3.48,9,0.58
Carbon Steel,236.2,52.4,5.78,435,4.38,3,1.18
SS316,169.3,38.7,6.56,162,3.66,10,0.53
Alloy Steel,188.3,54.7,4.47,342,1.69,4,1.04
Carbon Steel,176.0,45.8,4.3,603,2.84,13,1.36
SS316,195.8,40.7,5.24,280,3.91,6,0.81
Inconel,203.9,51.8,5.49,605,3.9,13,0.89
Alloy Steel,203.6,47.4,4.76,106,3.83,7,1.03
Inconel,252.9,35.6,5.87,247,1.83,5,0.62
SS316,153.9,33.1,6.42,307,4.42,1,0.56
Carbon Steel,204.0,53.3,6.51,161,3.73,5,0.88
SS304,239.1,25.9,6.46,183,1.88,9,0.63
Alloy Steel,238.8,52.3,5.9,564,2.58,8,1.07
Inconel,172.8,39.4,5.63,479,2.27,14,0.69
Carbon Steel,195.5,53.1,4.6,105,2.21,1,1.03
Carbon Steel,169.3,32.2,4.54,529,1.71,7,1.19
SS304,179.5,41.7,6.1,419,4.29,9,0.79
SS316,183.9,29.3,4.76,163,3.55,3,0.77
SS304,273.1,46.9,4.34,630,4.09,4,1.27
SS304,222.0,54.3,5.58,643,1.75,13,0.95
SS316,244.8,28.4,4.84,584,3.79,9,1.1
SS316,146.6,49.0,5.77,219,2.98,2,0.55
SS316,227.7,45.5,4.53,571,1.55,14,1.05
Carbon Steel,197.2,33.4,6.1,245,2.02,9,0.91
Carbon Steel,251.1,54.7,5.97,690,1.59,14,1.23
Alloy Steel,157.8,53.0,6.46,240,3.84,2,0.72
Alloy Steel,218.6,39.3,6.26,180,2.43,13,0.84
SS304,274.9,41.2,4.95,172,3.61,3,0.95
SS304,145.1,41.5,6.04,168,2.42,11,0.56
Alloy Steel,184.9,32.6,5.59,594,1.81,8,1.0
Inconel,238.9,40.0,6.46,175,3.53,11,0.59
SS304,274.8,28.8,5.29,388,2.63,7,0.98
Inconel,142.7,49.2,4.48,692,3.36,12,0.94
Inconel,252.4,39.6,4.98,482,2.36,8,0.9
SS316,167.7,29.0,4.35,620,2.38,11,1.0
Carbon Steel,149.7,54.9,4.95,189,2.22,13,1.01
Alloy Steel,186.9,34.9,4.25,181,3.59,2,1.07
Carbon Steel,169.0,36.3,5.02,506,2.37,8,1.14
Alloy Steel,219.4,45.5,4.21,658,1.83,10,1.31
Carbon Steel,233.0,32.7,4.53,135,2.42,10,1.19
Alloy Steel,253.5,54.4,6.61,638,3.69,4,1.05
Carbon Steel,154.9,45.7,6.74,535,4.29,13,0.99
SS316,167.0,27.9,6.53,309,3.15,10,0.57
Inconel,276.6,47.8,5.3,102,2.44,7,0.73
Alloy Steel,251.6,42.7,4.45,428,3.61,5,1.28
Inconel,154.2,26.5,4.21,296,3.48,2,0.77
Alloy Steel,197.6,35.0,5.94,229,3.27,3,0.85
Alloy Steel,251.7,52.6,6.74,106,3.37,1,0.76
SS316,279.5,28.1,4.67,178,2.48,5,0.93
Carbon Steel,152.0,30.5,6.17,113,3.95,10,0.86
Alloy Steel,232.0,36.0,5.79,517,2.53,14,1.09
Carbon Steel,209.3,29.0,6.5,489,1.99,8,0.97
SS316,199.1,36.9,4.27,301,4.43,3,0.97
SS304,186.1,42.6,6.4,364,1.55,13,0.63
Inconel,265.7,38.4,5.34,570,1.78,5,0.86
Alloy Steel,248.0,50.2,5.81,486,1.59,9,1.03
SS316,142.8,39.4,5.54,244,1.87,1,0.53
Carbon Steel,168.2,30.4,5.08,351,3.03,10,1.11
Alloy Steel,278.0,44.2,6.44,667,4.29,3,1.15
Carbon Steel,261.4,47.4,6.43,396,1.89,14,1.07
SS304,187.8,41.3,6.05,226,3.52,8,0.68
Alloy Steel,266.4,50.9,5.41,546,3.36,14,1.26
Inconel,157.7,42.0,5.24,270,2.01,1,0.54
Alloy Steel,204.8,48.6,6.34,432,2.04,7,0.86
Inconel,141.7,51.4,4.32,538,4.12,2,0.86
Carbon Steel,230.5,49.9,4.33,611,3.15,12,1.46
Alloy Steel,256.7,35.4,6.52,382,3.08,9,0.96
SS316,253.8,29.0,4.81,372,3.05,2,0.95
SS316,231.1,54.0,6.44,369,1.69,13,0.68
SS304,201.2,36.9,6.13,448,2.66,10,0.77
SS316,178.8,40.0,4.62,304,2.47,8,0.83
SS304,232.8,50.6,4.87,394,4.43,13,1.09
Carbon Steel,223.3,27.7,5.78,153,4.38,4,1.04
Inconel,164.6,26.9,5.7,314,2.33,5,0.54
Carbon Steel,209.9,52.9,5.72,423,2.86,4,1.07
Inconel,259.1,37.7,4.37,100,3.07,4,0.84
Inconel,277.3,35.5,5.38,180,1.64,12,0.75
SS304,184.5,30.0,6.14,326,2.92,12,0.71
SS316,171.9,25.3,4.54,285,1.85,5,0.77
SS316,140.2,51.1,4.28,527,1.64,9,0.88
SS304,260.7,53.8,4.84,370,1.57,11,0.99
SS304,233.7,27.2,6.14,131,3.13,10,0.71
Carbon Steel,165.2,45.7,5.67,615,1.85,2,1.02
SS304,234.3,28.5,6.01,364,4.33,8,0.87
SS316,243.5,30.9,6.39,222,3.73,13,0.73
SS304,266.2,33.1,6.29,697,2.26,7,0.93
SS304,183.2,43.3,6.71,157,1.57,12,0.49
Inconel,147.3,52.2,6.08,506,3.07,10,0.6
SS304,231.5,53.7,4.21,248,4.28,4,1.06
Carbon Steel,240.9,48.0,4.44,408,2.19,12,1.34
SS304,152.1,49.0,6.54,664,4.1,1,0.72
Alloy Steel,276.9,54.8,5.64,202,2.45,12,1.04
Alloy Steel,217.6,43.3,6.61,499,3.57,6,0.93
Inconel,140.1,42.9,6.58,272,2.06,2,0.31
Inconel,203.3,50.7,4.33,189,2.74,5,0.78
Alloy Steel,269.3,38.7,6.4,371,2.77,5,0.96
Inconel,232.6,28.2,5.47,518,3.09,5,0.82
Inconel,235.2,44.1,6.56,110,3.17,9,0.51
SS316,220.8,29.6,4.66,271,4.37,2,0.93
SS316,262.9,42.6,5.95,582,3.48,7,0.94
SS304,186.9,49.5,6.29,607,1.85,13,0.77
Alloy Steel,152.7,44.4,5.27,343,3.54,10,0.97
Carbon Steel,223.1,48.2,6.35,202,4.19,5,0.97
Alloy Steel,235.7,48.8,4.96,147,2.96,5,1.03
Alloy Steel,202.7,33.2,5.22,332,2.36,2,0.96
SS316,179.3,55.0,4.9,297,3.48,9,0.84
SS316,148.6,33.1,6.2,631,2.16,1,0.62
Inconel,252.6,29.1,6.22,578,3.11,3,0.75
Carbon Steel,258.6,25.3,5.25,644,3.72,11,1.41
SS316,269.9,27.0,5.15,341,1.5,5,0.87
Inconel,240.0,50.8,4.6,370,2.72,11,0.92
Carbon Steel,175.0,44.2,6.48,350,4.23,1,0.91
SS316,220.0,52.1,5.23,688,3.78,13,1.07
Alloy Steel,142.1,29.8,6.79,207,3.01,3,0.6
Alloy Steel,229.1,50.0,6.28,307,2.28,8,0.87
Carbon Steel,236.1,45.2,4.78,120,2.73,14,1.19
Carbon Steel,253.4,41.7,6.66,402,4.16,10,1.1
SS316,255.8,37.8,4.92,259,3.11,2,0.89
SS316,182.8,52.8,5.73,344,3.45,12,0.76
Carbon Steel,197.8,31.8,5.72,322,2.85,4,1.01
Carbon Steel,168.5,29.7,6.49,360,2.74,11,0.9
Inconel,265.8,52.9,6.7,107,2.02,7,0.48
Inconel,175.3,49.3,6.66,181,2.99,2,0.37
Inconel,144.8,30.1,5.5,456,1.95,3,0.57
Alloy Steel,160.1,25.3,6.3,205,3.32,6,0.74
Alloy Steel,236.1,37.5,5.89,285,3.32,1,0.94
Inconel,199.9,44.7,4.89,107,3.06,1,0.64
Inconel,192.7,26.9,6.58,349,2.88,9,0.53
Carbon Steel,256.0,34.7,4.82,257,3.01,11,1.27
Alloy Steel,260.9,45.2,4.76,482,3.02,2,1.23
Inconel,233.0,37.8,6.51,607,3.08,13,0.75
SS304,176.2,52.0,6.34,509,3.6,12,0.77
SS316,194.4,51.0,6.08,342,2.14,8,0.64
Inconel,232.0,37.7,4.6,583,3.03,4,0.97
Alloy Steel,194.0,54.5,5.22,147,1.77,5,0.86
Inconel,180.3,29.8,4.93,239,3.7,12,0.76
SS304,210.7,29.5,4.47,174,1.8,2,0.82
Carbon Steel,244.7,30.9,6.22,599,2.58,3,1.12
Alloy Steel,172.3,34.8,4.75,395,1.56,5,0.99
Carbon Steel,252.8,32.6,4.85,454,1.71,5,1.25
SS316,157.8,37.0,4.64,252,2.29,6,0.75
Carbon Steel,145.2,41.1,6.03,303,1.83,14,0.88
Inconel,248.2,35.2,4.57,614,2.43,13,1.05
SS304,201.0,38.6,4.24,170,2.05,3,0.86
Carbon Steel,233.5,51.9,4.35,184,3.65,4,1.25
SS304,185.3,25.7,5.5,390,1.97,13,0.8
Alloy Steel,246.9,32.7,5.45,695,3.56,8,1.25
Alloy Steel,179.5,31.6,5.56,193,3.5,7,0.89
Inconel,196.3,50.4,5.1,492,3.63,5,0.82
Inconel,246.3,34.4,5.39,242,3.38,6,0.75
Inconel,157.8,27.2,6.48,281,3.45,13,0.5
SS304,214.8,50.3,5.72,136,3.47,6,0.73
SS316,211.6,53.3,4.31,401,3.25,14,1.05
SS316,249.7,35.6,4.98,435,1.53,2,0.88
SS316,142.7,47.0,6.63,494,2.82,5,0.54
Alloy Steel,148.6,40.8,5.49,186,4.26,14,0.92
Alloy Steel,157.4,31.4,4.37,444,3.37,7,1.13
SS316,173.4,50.1,6.24,594,3.67,5,0.74
Inconel,198.5,42.0,5.89,310,4.25,13,0.71
Carbon Steel,171.4,28.0,6.58,436,1.96,10,0.88
SS316,268.1,30.1,6.33,659,4.32,1,0.92
Carbon Steel,184.8,49.3,5.99,534,3.59,4,1.07
SS316,154.0,33.2,6.36,688,2.98,7,0.7
Carbon Steel,223.8,40.1,4.33,665,3.08,12,1.47
Inconel,191.1,52.4,6.23,553,3.32,11,0.69
Alloy Steel,262.1,45.6,4.49,188,2.78,7,1.17
SS316,248.8,51.2,4.76,150,2.95,9,0.9
SS316,276.5,43.1,6.11,166,4.09,11,0.81
Inconel,226.1,49.8,4.61,456,3.28,6,0.92
SS304,258.6,35.7,4.48,352,3.68,6,1.09
SS316,233.5,43.3,5.87,152,4.18,8,0.75
Carbon Steel,191.3,47.7,6.71,168,2.44,7,0.78
